user@gmail.com#user@gmail.com#no#robe#1#24/05/2017 12:18#true#user3@gmail.com,user@gmail.com,
user3@gmail.com#user@gmail.com#da#wwd#1#24/05/2017 12:32#true#
user@gmail.com#user@gmail.com#fefef#fefe#1#24/05/2017 12:35#true#
user3@gmail.com#user@gmail.com#si#sisi#1#24/05/2017 12:36#true#
user@gmail.com#user@gmail.com#ROGER#nonna#1#24/05/2017 12:44#true#user2@gmail.com,user3@gmail.com,
user@gmail.com#user@gmail.com#RE: ROGER#fotttiti§§--------In risposta a--------§§DA: <user@gmail.com>§§ ------------------------------#1#24/05/2017 13:36#true#
user@gmail.com#user3@gmail.com#no#robe#1#24/05/2017 12:18#true#user3@gmail.com,user@gmail.com,
user@gmail.com#user3@gmail.com#wwe#wwe#1#24/05/2017 12:37#true#user2@gmail.com,user3@gmail.com,
user@gmail.com#user3@gmail.com#ROGER#nonna#1#24/05/2017 12:44#true#user2@gmail.com,user3@gmail.com,
user@gmail.com#user3@gmail.com#RE: ROGER#§ciao§--------In risposta a--------§§DA: <user@gmail.com>§Cc: §user2@gmail.com,user3@gmail.com§§ ------------------------------#1#24/05/2017 13:32#false#user2@gmail.com,user3@gmail.com,
user@gmail.com#user2@gmail.com#eee#cce#1#24/05/2017 12:34#true#
user@gmail.com#user2@gmail.com#wwe#wwe#1#24/05/2017 12:37#true#user2@gmail.com,user3@gmail.com,
user@gmail.com#user2@gmail.com#ROGER#nonna#1#24/05/2017 12:44#true#user2@gmail.com,user3@gmail.com,
user@gmail.com#user2@gmail.com#RE: ROGER#§ciao§--------In risposta a--------§§DA: <user@gmail.com>§Cc: §user2@gmail.com,user3@gmail.com§§ ------------------------------#1#24/05/2017 13:32#false#user2@gmail.com,user3@gmail.com,
